                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7367,                  4.469,                  2.515,                 0.0012,                0.11875,                 0.0018,                0.00026,                 2.3216,                  4.301,                 2.3155,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.6288,                  4.314,                 2.4245,                0.00195,                 0.1875,                0.00208,                0.00051,                 2.3316,                 4.2575,                 2.2304,               0.070278,              0.0032782,              0.0032782
                      3,                   2.68,                  4.396,                 2.4225,                0.00159,                0.14844,                0.00105,                0.00034,                 2.3289,                 4.1466,                 2.0856,               0.054934,               0.004934,               0.004934
                      4,                 2.4398,                 4.3542,                 2.2598,                0.00171,                0.19062,                0.00109,                0.00036,                 2.3628,                  4.172,                 2.0632,               0.039567,              0.0065673,              0.0065673
                      5,                 2.5793,                 4.2056,                 2.3066,                0.00107,                0.10156,                0.00842,                0.00098,                 2.4203,                 4.1831,                 2.0678,               0.024178,              0.0081782,              0.0081782
                      6,                 2.5846,                 4.3238,                 2.2168,                0.00214,                0.24531,                0.00609,                0.00154,                 2.6033,                 4.0157,                 1.9379,                0.00967,                0.00967,                0.00967
                      7,                 2.5099,                 4.1018,                 2.1064,                0.00205,                0.22969,                0.00353,                0.00106,                 2.6212,                 3.9909,                 2.0139,                0.00967,                0.00967,                0.00967
                      8,                 2.4668,                 3.8973,                 2.1025,                0.00267,                0.29219,                0.02051,                0.00671,                 2.4314,                 3.8411,                 1.9802,               0.009604,               0.009604,               0.009604
                      9,                 2.4631,                 3.8893,                 2.1248,                 0.5753,                0.05469,                 0.0367,                0.01117,                 2.4434,                 3.7564,                 2.1049,               0.009538,               0.009538,               0.009538
                     10,                 2.4201,                 3.7882,                 2.0386,                 0.5275,                0.04688,                0.02368,                0.00858,                 2.4013,                 3.9133,                 2.0866,               0.009472,               0.009472,               0.009472
                     11,                  2.428,                 3.6978,                 2.0488,                0.56324,                0.11765,                 0.0778,                0.03211,                 2.4229,                 3.7599,                 2.1231,               0.009406,               0.009406,               0.009406
                     12,                 2.4541,                 3.3769,                 2.0491,                0.61117,                0.07031,                0.06547,                0.02202,                  2.355,                 4.1138,                 2.1227,                0.00934,                0.00934,                0.00934
                     13,                 2.4444,                 3.7207,                 2.0836,                0.12141,                0.13281,                0.10736,                0.04119,                 2.2523,                 3.4251,                 1.9023,               0.009274,               0.009274,               0.009274
                     14,                 2.3272,                 3.5246,                 1.9307,                 0.2762,                0.19737,                0.11249,                 0.0455,                 2.2891,                  3.464,                 1.7755,               0.009208,               0.009208,               0.009208
                     15,                 2.3227,                 3.4292,                 1.9083,                 0.2824,                0.22791,                0.15523,                0.04861,                 2.3103,                 3.2475,                  1.837,               0.009142,               0.009142,               0.009142
                     16,                 2.3159,                 3.2422,                 1.9417,                0.22309,                0.24688,                0.14413,                0.04158,                 2.4515,                 3.7721,                 2.0231,               0.009076,               0.009076,               0.009076
                     17,                 2.3885,                 3.3073,                 2.0104,                0.13086,                0.27813,                0.12675,                0.03271,                  2.454,                 4.7101,                 2.0107,                0.00901,                0.00901,                0.00901
                     18,                 2.3797,                 3.3849,                 1.9561,                0.28499,                0.21094,                 0.1579,                0.03618,                  2.533,                 3.7572,                 2.1001,               0.008944,               0.008944,               0.008944
                     19,                 2.3474,                 3.4218,                 1.9728,                 0.2028,                0.18895,                0.11663,                 0.0358,                 2.5223,                  3.811,                 2.1798,               0.008878,               0.008878,               0.008878
                     20,                 2.5617,                 3.3939,                  2.105,                0.32792,                0.14531,                0.10225,                0.02464,                 2.5653,                 4.0004,                 2.2691,               0.008812,               0.008812,               0.008812
                     21,                 2.5496,                 3.6327,                 2.1418,                0.17647,                0.07969,                0.04352,                0.01073,                 2.5654,                 4.2017,                 2.3303,               0.008746,               0.008746,               0.008746
                     22,                 2.5844,                  3.594,                 2.1457,                0.09107,                0.11719,                0.06257,                0.01559,                 2.4001,                 3.5382,                  2.067,                0.00868,                0.00868,                0.00868
                     23,                 2.4221,                 3.4145,                 2.0139,                0.28851,                0.13437,                0.12455,                0.03146,                 2.3624,                 4.2049,                 2.1359,               0.008614,               0.008614,               0.008614
                     24,                 2.3923,                 3.4271,                  2.044,                0.21121,                   0.15,                0.09983,                0.03201,                 2.2613,                 3.7561,                 2.1507,               0.008548,               0.008548,               0.008548
                     25,                 2.3429,                 3.3113,                 2.0593,                0.31465,                0.21995,                0.07693,                0.02471,                 2.4249,                 4.5437,                 2.3102,               0.008482,               0.008482,               0.008482
                     26,                 2.3307,                 3.3019,                   2.08,                 0.2235,                0.16163,                0.10485,                0.03645,                 2.3845,                 4.1422,                 2.1616,               0.008416,               0.008416,               0.008416
                     27,                   2.39,                 3.3521,                 2.0881,                0.08543,                 0.2875,                0.06036,                0.01702,                 2.5337,                  3.991,                 2.3826,                0.00835,                0.00835,                0.00835
                     28,                 2.3569,                 3.2417,                 2.0202,                0.07834,                0.23594,                0.07801,                 0.0292,                 2.3158,                 3.7064,                 2.1365,               0.008284,               0.008284,               0.008284
